category,subcategory,url,name,offer_price,oldPrice,image-src,items_sold,location
"Fashion Bayi & Anak","Sepatu Bayi","/MGM370-COD-Kaos-Kaki-Katun-Bayi-Lucu-Kaos-Kaki-Fashion-Bayi-Unisex-Murah-Produk-Import-i.38281755.6106631415","MGM370 COD Kaos Kaki Katun Bayi Lucu Kaos Kaki Fashion Bayi Unisex Murah Produk Import","Rp8.600","Rp9.052","https://cf.shopee.co.id/file/5712d1e3c19f9fc6fe1d3ec15802cbc6_tn","9RB Terjual","KOTA BATAM"
"Fashion Bayi & Anak","Sepatu Bayi","/SEPATU-PREWALKER-ANAK-PEREMPUAN-PITA-LEVIS-FP01-i.173898457.5538452453","SEPATU PREWALKER ANAK PEREMPUAN PITA LEVIS FP01","Rp16.000","Rp20.000","https://cf.shopee.co.id/file/38d4649eaefd0b835450bf510919323a_tn","588 Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/MARCHER-Sepatu-Prewalker-Anti-Slip-Sneaker-Baby-First-Shoes-Walker-Anak-Bayi-Kets-Motif-2-i.56372227.3530160803","MARCHER Sepatu Prewalker Anti-Slip Sneaker Baby First Shoes Walker Anak Bayi Kets Motif 2","Rp34.900","","https://cf.shopee.co.id/file/466e42adbb2dc4b383ac79d13db5e512_tn","537 Terjual","KOTA JAKARTA SELATAN"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Prewalker-Bayi-Anak-Laki-dan-Perempuan-Baby-Shoes-SY-710-Alas-Kaki-Bayi-Cowok-i.9052873.2441819512","Sepatu Prewalker Bayi Anak Laki dan Perempuan Baby Shoes SY-710 Alas Kaki Bayi Cowok","Rp23.900","Rp69.000","https://cf.shopee.co.id/file/6ecc2a3175ddd2d92cd4dfbc7d3b394c_tn","5,1RB Terjual","KOTA SURABAYA"
"Fashion Bayi & Anak","Sepatu Bayi","/Skidders-Grencco-atau-Prewalker-Shoes-i.59597855.3120431232","Skidders & Grencco  atau Prewalker Shoes","Rp27.621 - Rp28.809","","https://cf.shopee.co.id/file/5cee55005786bbb8c1b86e1d72a67ebf_tn","498 Terjual","KAB. SIDOARJO"
"Fashion Bayi & Anak","Sepatu Bayi","/Sandal-bayi-Perempuan-Prewalker-antislip-Tamagoo-Beannie-Pink-Murah-i.17718002.4643567039","Sandal bayi Perempuan Prewalker antislip Tamagoo - Beannie Pink Murah","Rp89.900","Rp130.000","https://cf.shopee.co.id/file/490a4ac56c853791f706b6183ea0915e_tn","151 Terjual","KOTA BANDUNG"
"Fashion Bayi & Anak","Sepatu Bayi","/hb-B158-POM2-PITA-Sepatu-prewalker-bayi-dan-anak-perempuan-newbron-3-18-bulan-i.4721912.2562553165","hb B158 POM2 PITA Sepatu prewalker bayi dan anak perempuan newbron 3-18 bulanPilih 3, diskon Rp1.000","Rp46.750","Rp117.000","https://cf.shopee.co.id/file/66cf4c5a08a5c9bd52b4d724dfab3212_tn","635 Terjual","KOTA SURABAYA"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-bayi-prewalker-kaos-kaki-anak-import-KOREA-SB-1802-i.237281981.5333525325","Sepatu bayi prewalker kaos kaki anak import KOREA SB-1802","Rp15.500","","https://cf.shopee.co.id/file/283c1979c2175ebea24199b1124dc614_tn","560 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Sandal-dengan-Sole-Bahan-Halus-Anti-Slip-dan-Hiasan-Pita-untuk-Usia-0-18-Bulan-i.161483232.4619015332","Sepatu Sandal dengan Sole Bahan Halus Anti-Slip dan Hiasan Pita untuk Usia 0-18 Bulan","Rp46.000","Rp62.000","https://cf.shopee.co.id/file/47d4ba61141dfc0ea173a7259933890e_tn","565 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/babyfit-prewalker-sneakers-COMICA-sepatu-anak-bayi-baby-shoes-import-i.12739619.5553966579","babyfit prewalker sneakers COMICA sepatu anak bayi baby shoes import","Rp28.125","Rp37.500","https://cf.shopee.co.id/file/1d58fc5ce73ec3f0a11bf1f520b0de80_tn","273 Terjual","KOTA JAKARTA UTARA"
